CURSO,COD_RUCT,TITULACION,IND_TESIS_MATRIC,TASA_ABAN,IND_SATIS_PDI_GT_DOC,IND_SATIS_ALUM_GT_DOC,GRUPO_TITULACION
2020-21,5601090,PROGRAMA DE DOCTORADO EN QUÍMICA SOSTENIBLE,94,0.0,8.75,7.35,Ciencias
2020-21,5600042,PROGRAMA DE DOCTORADO EN RECURSOS Y TECNOLOGÍAS AGRÍCOLAS,43,4.0,8.93,7.27,Agroalimentación y Biotecnología
2020-21,5600035,PROGRAMA DE DOCTORADO EN SISTEMAS PROPULSIVOS EN MEDIOS DE TRANSPORTE,74,1.82,10.0,8.44,Ingeniería Industrial
2020-21,5600356,PROGRAMA DE DOCTORADO EN TÉCNICAS EXPERIMENTALES EN QUÍMICA,9,0.0,8.5,7.08,Ciencias
2020-21,5600596,PROGRAMA DE DOCTORADO EN TECNOLOGÍAS PARA LA SALUD Y EL BIENESTAR,117,10.81,8.13,6.94,TIC
2020-21,5600051,PROGRAMA DE DOCTORADO EN TELECOMUNICACIÓN,118,4.69,8.41,7.5,TIC
2023-24,5600043,PROGRAMA DE DOCTORADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,167,10.57,8.36,8.33,Economía y Ciencias Sociales
2023-24,5601427,"PROGRAMA DE DOCTORADO EN ARQUITECTURA, EDIFICACIÓN, PATRIMONIO Y CIUDAD",67,,8.24,8.57,Arquitectura
2023-24,5600038,"PROGRAMA DE DOCTORADO EN ARQUITECTURA, EDIFICACIÓN, URBANÍSTICA Y PAISAJE",129,9.39,8.47,6.92,Arquitectura
2023-24,5600428,PROGRAMA DE DOCTORADO EN ARTE: PRODUCCIÓN E INVESTIGACIÓN,295,9.58,7.56,7.11,Arte
2023-24,5600046,"PROGRAMA DE DOCTORADO EN AUTOMÁTICA, ROBÓTICA E INFORMÁTICA INDUSTRIAL",34,5.56,7.36,7.0,Ingeniería Industrial
2023-24,5600180,PROGRAMA DE DOCTORADO EN BIOTECNOLOGÍA,244,0.52,8.22,6.36,Agroalimentación y Biotecnología
2023-24,5600047,"PROGRAMA DE DOCTORADO EN CIENCIA, TECNOLOGÍA Y GESTIÓN ALIMENTARIA",87,8.6,8.95,8.17,Agroalimentación y Biotecnología
2023-24,5600036,PROGRAMA DE DOCTORADO EN CIENCIA Y TECNOLOGÍA DE LA PRODUCCIÓN ANIMAL,58,10.64,8.75,8.64,Agroalimentación y Biotecnología
2023-24,5601473,PROGRAMA DE DOCTORADO EN CIENCIA Y TECNOLOGÍA MARINA Y COSTERA,15,,8.33,8.0,Ciencias
2023-24,5600049,PROGRAMA DE DOCTORADO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES,37,5.13,8.65,5.0,Arte
2023-24,5600319,PROGRAMA DE DOCTORADO EN DESARROLLO LOCAL Y COOPERACIÓN INTERNACIONAL,40,12.96,8.75,6.88,Economía y Ciencias Sociales
2023-24,5600595,"PROGRAMA DE DOCTORADO EN DISEÑO, FABRICACIÓN Y GESTIÓN DE PROYECTOS INDUSTRIALES",163,9.22,8.91,8.41,Ingeniería Industrial
2023-24,5600039,PROGRAMA DE DOCTORADO EN ECONOMÍA AGROALIMENTARIA,48,4.35,8.93,8.04,Economía y Ciencias Sociales
2023-24,5600324,PROGRAMA DE DOCTORADO EN ESTADÍSTICA Y OPTIMIZACIÓN,37,0.0,7.19,7.08,Ciencias
